type,entry_time,exittime,Entryvalue,exitvalue,entry,lot_size,pips,PnL,Equity,exit_type,SP,dd,per_dd,ContractName,BasketID,commision,MarginRequired,Duration
PE,2020-02-06 10:00:00,2020-02-06 11:56:00,102.15,73.7,Short,1,28.450000000000003,366.75000000000006,498536.0,Adj,31100,-503.9999999999999,0.10117043554976546,BANKNIFTY3050013FEB20PE,6,60,1532.25,0 days 01:56:00
PE,2020-02-06 11:56:00,2020-02-06 12:41:00,115.65,87.15,Short,1,28.5,367.5,498903.5,Adj,31100,-110.24999999999991,0.02211475199383794,BANKNIFTY3070013FEB20PE,6,60,1734.75,0 days 00:45:00
PE,2020-02-06 11:56:00,2020-02-06 12:41:00,40.2,33.65,Long,1,-6.550000000000004,-158.25000000000006,498745.25,Adj,UP,-122.25000000000009,0.02450373669457121,BANKNIFTY3020013FEB20PE,6,60,603.0,0 days 00:45:00
PE,2020-02-06 12:41:00,2020-02-06 13:21:00,136.0,102.15,Short,1,33.849999999999994,447.7499999999999,499193.0,Adj,31100,-38.25000000000017,0.007669245972768697,BANKNIFTY3090013FEB20PE,6,60,2040.0,0 days 00:40:00
PE,2020-02-06 12:41:00,2020-02-06 13:21:00,49.8,39.65,Long,1,-10.149999999999999,-212.24999999999997,498980.75,Adj,UP,-174.74999999999997,0.035006500491793754,BANKNIFTY3040013FEB20PE,6,60,747.0,0 days 00:40:00
CE,2020-02-06 10:00:00,2020-02-07 09:15:00,112.35,117.35,Short,1,-5.0,-135.0,498845.75,Adj,31100,-1689.75,0.3386403182888318,BANKNIFTY3160013FEB20CE,6,60,1685.25,0 days 23:15:00
CE,2020-02-06 10:00:00,2020-02-07 09:15:00,44.5,42.7,Long,1,-1.7999999999999972,-86.99999999999996,498758.75,Adj,UP,-116.25,0.023303796814947306,BANKNIFTY3200013FEB20CE,6,60,667.5,0 days 23:15:00
CE,2020-02-07 09:15:00,2020-02-10 09:22:00,83.05,22.45,Long,1,-60.599999999999994,-968.9999999999999,497789.75,Adj,UP,-930.75,0.1866132674364109,BANKNIFTY3180013FEB20CE,6,60,1245.75,3 days 00:07:00
CE,2020-02-07 09:15:00,2020-02-10 09:22:00,284.95,116.45,Short,1,168.5,2467.5,500257.25,Adj,31100,-0.7500000000001705,0.000150666019137632,BANKNIFTY3130013FEB20CE,6,60,4274.25,3 days 00:07:00
PE,2020-02-06 13:21:00,2020-02-13 10:00:00,47.2,0.7,Long,1,-46.5,-757.5,499499.75,Exp,31100,-703.5000000000001,0.14062764707557965,BANKNIFTY3050013FEB20PE,6,60,708.0,6 days 20:39:00
CE,2020-02-10 09:22:00,2020-02-13 10:00:00,72.0,15.2,Long,1,-56.8,-912.0,498587.75,Exp,31100,-864.0,0.17297305954607584,BANKNIFTY3150013FEB20CE,6,60,1080.0,3 days 00:38:00
CE,2020-02-10 09:22:00,2020-02-13 10:00:00,211.4,210.25,Short,1,1.1500000000000057,-42.749999999999915,498545.0,Exp,31100,-1983.7499999999995,0.3978737945326574,BANKNIFTY3110013FEB20CE,6,60,3171.0,3 days 00:38:00
PE,2020-02-06 13:21:00,2020-02-13 10:00:00,156.65,15.75,Short,1,140.9,2053.5,500598.5,Exp,31100,-1983.7499999999995,0.3979079120239897,BANKNIFTY3110013FEB20PE,6,60,2349.75,6 days 20:39:00
PE,2020-02-13 10:00:00,2020-02-14 09:20:00,85.8,54.05,Short,1,31.75,416.25,501014.75,Adj,31300,-491.99999999999994,0.09828235601984424,BANKNIFTY3080020FEB20PE,7,60,1287.0,0 days 23:20:00
PE,2020-02-13 10:00:00,2020-02-14 09:20:00,28.0,14.25,Long,1,-13.75,-266.25,500748.5,Adj,UP,-211.5,0.04221432602533159,BANKNIFTY3030020FEB20PE,7,60,420.0,0 days 23:20:00
CE,2020-02-13 10:00:00,2020-02-14 10:50:00,108.45,70.05,Short,1,38.400000000000006,516.0000000000001,501264.5,Adj,31300,-258.75,0.05167264604886485,BANKNIFTY3170020FEB20CE,7,60,1626.75,1 days 00:50:00
CE,2020-02-13 10:00:00,2020-02-14 10:50:00,33.75,18.4,Long,1,-15.350000000000001,-290.25,500974.25,Adj,UP,-248.25,0.049524751902438734,BANKNIFTY3210020FEB20CE,7,60,506.25,1 days 00:50:00
CE,2020-02-14 10:50:00,2020-02-14 10:52:00,124.95,97.05,Short,1,27.900000000000006,358.5000000000001,501332.75,Adj,31300,-15.0,0.002994165867806579,BANKNIFTY3150020FEB20CE,7,60,1874.25,0 days 00:02:00
CE,2020-02-14 10:50:00,2020-02-14 10:52:00,36.7,30.95,Long,1,-5.7500000000000036,-146.25000000000006,501186.5,Adj,UP,-156.00000000000003,0.031117057483278324,BANKNIFTY3190020FEB20CE,7,60,550.5,0 days 00:02:00
CE,2020-02-14 10:52:00,2020-02-14 10:55:00,172.2,92.15,Short,1,80.04999999999998,1140.7499999999998,502327.25,Adj,31300,0.0,0.0,BANKNIFTY3130020FEB20CE,7,60,2583.0,0 days 00:03:00
CE,2020-02-14 10:52:00,2020-02-14 10:55:00,58.15,35.3,Long,1,-22.85,-402.75,501924.5,Adj,UP,-572.25,0.11391976047486974,BANKNIFTY3170020FEB20CE,7,60,872.25,0 days 00:03:00
CE,2020-02-14 10:55:00,2020-02-18 09:30:00,337.25,58.75,Short,1,278.5,4117.5,506042.0,SL,31300,-6959.25,1.3865133102687754,BANKNIFTY3090020FEB20CE,7,60,5058.75,3 days 22:35:00
PE,2020-02-14 09:20:00,2020-02-18 09:30:00,98.05,560.15,Short,1,-462.09999999999997,-6991.499999999999,499050.5,SL,31300,-6959.25,1.3752317001355618,BANKNIFTY3100020FEB20PE,7,60,1470.75,4 days 00:10:00
CE,2020-02-14 10:55:00,2020-02-18 09:30:00,142.2,19.75,Long,1,-122.44999999999999,-1896.7499999999998,497153.75,SL,31300,-1838.2499999999998,0.3683494956923197,BANKNIFTY3130020FEB20CE,7,60,2133.0,3 days 22:35:00
PE,2020-02-14 09:20:00,2020-02-18 09:30:00,33.65,256.2,Long,1,222.54999999999998,3278.2499999999995,500432.0,SL,31300,620.25,0.12476019742383518,BANKNIFTY3060020FEB20PE,7,60,504.75,4 days 00:10:00
PE,2020-02-27 10:00:00,2020-02-27 15:02:00,99.95,52.15,Short,1,47.800000000000004,657.0000000000001,501089.0,Adj,30000,-525.75,0.10505922882629408,BANKNIFTY2910005MAR20PE,9,60,1499.25,0 days 05:02:00
PE,2020-02-27 10:00:00,2020-02-27 15:02:00,39.7,22.35,Long,1,-17.35,-320.25,500768.75,Adj,UP,-294.0,0.058672211922432944,BANKNIFTY2850005MAR20PE,9,60,595.5,0 days 05:02:00
CE,2020-02-27 10:00:00,2020-02-28 09:17:00,34.7,12.3,Long,1,-22.400000000000002,-396.00000000000006,500372.75,Adj,UP,-351.00000000000006,0.07009223319146812,BANKNIFTY3130005MAR20CE,9,60,520.5,0 days 23:17:00
CE,2020-02-27 10:00:00,2020-02-28 09:17:00,104.0,24.3,Short,1,79.7,1135.5,501508.25,Adj,30000,-77.25000000000009,0.015438490605253801,BANKNIFTY3080005MAR20CE,9,60,1560.0,0 days 23:17:00
CE,2020-02-28 09:17:00,2020-02-28 09:56:00,95.95,79.4,Long,1,-16.549999999999997,-308.24999999999994,501200.0,Adj,UP,-281.25,0.05608083216975992,BANKNIFTY3030005MAR20CE,9,60,1439.25,0 days 00:39:00
CE,2020-02-28 09:17:00,2020-02-28 09:56:00,302.0,196.0,Short,1,106.0,1530.0,502730.0,Adj,30000,-297.75000000000034,0.05940742218675186,BANKNIFTY2980005MAR20CE,9,60,4530.0,0 days 00:39:00
CE,2020-02-28 09:56:00,2020-02-28 12:17:00,333.45,283.95,Short,1,49.5,682.5,503412.5,SL,30000,-7267.500000000001,1.4456069858572198,BANKNIFTY2950005MAR20CE,9,60,5001.75,0 days 02:21:00
PE,2020-02-27 15:02:00,2020-02-28 12:17:00,89.45,543.9,Short,1,-454.45,-6876.75,496535.75,SL,30000,-7267.500000000001,1.4436471084845928,BANKNIFTY2940005MAR20PE,9,60,1341.75,0 days 21:15:00
CE,2020-02-28 09:56:00,2020-02-28 12:17:00,106.15,90.25,Long,1,-15.900000000000006,-298.5000000000001,496237.25,SL,30000,-305.2500000000001,0.06147593602273354,BANKNIFTY3020005MAR20CE,9,60,1592.25,0 days 02:21:00
PE,2020-02-27 15:02:00,2020-02-28 12:17:00,29.0,252.2,Long,1,223.2,3288.0,499525.25,SL,30000,1569.75,0.31633054552031314,BANKNIFTY2870005MAR20PE,9,60,435.0,0 days 21:15:00
PE,2020-03-05 10:00:00,2020-03-05 10:46:00,118.75,70.0,Short,1,48.75,671.25,500196.5,Adj,28600,-71.99999999999996,0.014413685794662023,BANKNIFTY2740012MAR20PE,10,60,1781.25,0 days 00:46:00
PE,2020-03-05 10:00:00,2020-03-05 10:46:00,37.5,21.65,Long,1,-15.850000000000001,-297.75,499898.75,Adj,UP,-237.75000000000003,0.04753132019116488,BANKNIFTY2650012MAR20PE,10,60,562.5,0 days 00:46:00
PE,2020-03-05 10:46:00,2020-03-05 11:30:00,120.0,100.55,Short,1,19.450000000000003,231.75000000000006,500130.5,Adj,28600,-174.75000000000009,0.034957078808458726,BANKNIFTY2780012MAR20PE,10,60,1800.0,0 days 00:44:00
PE,2020-03-05 10:46:00,2020-03-05 11:30:00,47.6,45.85,Long,1,-1.75,-86.25,500044.25,Adj,UP,-168.75,0.033741193548483844,BANKNIFTY2700012MAR20PE,10,60,714.0,0 days 00:44:00
CE,2020-03-05 10:00:00,2020-03-05 13:50:00,34.2,33.25,Long,1,-0.9500000000000028,-74.25000000000004,499970.0,Adj,UP,-18.75,0.0037496681543683383,BANKNIFTY3020012MAR20CE,10,60,513.0,0 days 03:50:00
CE,2020-03-05 10:00:00,2020-03-05 13:50:00,97.95,106.85,Short,1,-8.899999999999991,-193.4999999999999,499776.5,Adj,28600,-1586.2499999999998,0.3172690361421685,BANKNIFTY2960012MAR20CE,10,60,1469.25,0 days 03:50:00
CE,2020-03-05 13:50:00,2020-03-06 09:17:00,195.35,2.55,Short,1,192.79999999999998,2831.9999999999995,502608.5,Adj,28600,-509.2500000000002,0.10189554730964745,BANKNIFTY2930012MAR20CE,10,60,2930.25,0 days 19:27:00
CE,2020-03-05 13:50:00,2020-03-06 09:17:00,63.6,18.7,Long,1,-44.900000000000006,-733.5000000000001,501875.0,Adj,UP,-727.5,0.14474486603390113,BANKNIFTY2990012MAR20CE,10,60,954.0,0 days 19:27:00
CE,2020-03-06 09:17:00,2020-03-06 09:18:00,36.6,36.95,Short,1,-0.3500000000000014,-65.25000000000003,501809.75,Adj,28600,-124.49999999999996,0.02480697384806973,BANKNIFTY2940012MAR20CE,10,60,549.0,0 days 00:01:00
CE,2020-03-06 09:17:00,2020-03-06 09:18:00,9.6,11.25,Long,1,1.6500000000000004,-35.24999999999999,501774.5,Adj,UP,-1.4999999999999947,0.00029891806605989514,BANKNIFTY3020012MAR20CE,10,60,144.0,0 days 00:01:00
CE,2020-03-06 09:18:00,2020-03-06 09:19:00,40.1,41.0,Short,1,-0.8999999999999986,-73.49999999999997,501701.0,Adj,28600,-70.49999999999994,0.014050136067097858,BANKNIFTY2920012MAR20CE,10,60,601.5,0 days 00:01:00
CE,2020-03-06 09:18:00,2020-03-06 09:19:00,16.15,12.4,Long,1,-3.7499999999999982,-116.24999999999997,501584.75,Adj,UP,-56.24999999999997,0.011211857261596044,BANKNIFTY3000012MAR20CE,10,60,242.24999999999997,0 days 00:01:00
PE,2020-03-05 11:30:00,2020-03-09 09:39:00,58.05,789.35,Long,1,731.3000000000001,10909.500000000002,512494.25,SL,28600,405.0,0.08074408163326337,BANKNIFTY2740012MAR20PE,10,60,870.75,3 days 22:09:00
CE,2020-03-06 09:19:00,2020-03-09 09:39:00,42.5,10.7,Long,1,-31.8,-537.0,511957.25,SL,28600,-483.00000000000006,0.09424495982150045,BANKNIFTY2920012MAR20CE,10,60,637.5,3 days 00:20:00
CE,2020-03-06 09:19:00,2020-03-09 09:39:00,602.1,164.6,Short,1,437.5,6502.5,518459.75,SL,28600,-19149.0,3.7403513672284157,BANKNIFTY2750012MAR20CE,10,60,9031.5,3 days 00:20:00
PE,2020-03-05 11:30:00,2020-03-09 09:39:00,168.4,1445.0,Short,1,-1276.6,-19209.0,499250.75,SL,28600,-19149.0,3.693440040427439,BANKNIFTY2820012MAR20PE,10,60,2526.0,3 days 22:09:00
CE,2020-04-01 10:00:00,2020-04-01 11:30:00,101.6,51.5,Short,1,50.099999999999994,691.4999999999999,499942.25,Adj,18600,0.0,0.0,BANKNIFTY2050009APR20CE,11,60,1524.0,0 days 01:30:00
CE,2020-04-01 10:00:00,2020-04-01 11:30:00,27.8,16.0,Long,1,-11.8,-237.0,499705.25,Adj,UP,-184.5,0.03690426244231209,BANKNIFTY2200009APR20CE,11,60,417.0,0 days 01:30:00
CE,2020-04-01 11:30:00,2020-04-03 09:15:00,92.05,51.0,Short,1,41.05,555.75,500261.0,Adj,18600,-479.25000000000006,0.09590653690350463,BANKNIFTY2000009APR20CE,11,60,1380.75,1 days 21:45:00
CE,2020-04-01 11:30:00,2020-04-03 09:15:00,34.9,16.4,Long,1,-18.5,-337.5,499923.5,Adj,UP,-326.25,0.0652159572703049,BANKNIFTY2100009APR20CE,11,60,523.5,1 days 21:45:00
CE,2020-04-03 09:15:00,2020-04-03 09:20:00,139.45,82.15,Short,1,57.29999999999998,799.4999999999998,500723.0,Adj,18600,-421.50000000000034,0.08431289987368074,BANKNIFTY1950009APR20CE,11,60,2091.75,0 days 00:05:00
